,400001,400001.1,0.0
140,400057,400414,9553.0
141,400057,400508,8598.0
142,400057,400664,9200.1
143,400057,400709,3287.0
144,400057,400714,7414.9
145,400057,400723,4398.9
146,400057,400964,7415.7
147,400057,400995,10009.6
148,400057,401167,7464.9
149,400057,401391,9415.9
150,400057,401400,7318.3
151,400057,401440,7175.9
152,400057,401541,5107.2
153,400057,401560,3507.0
154,400057,401611,6238.3
155,400057,401809,8808.2
156,400057,401816,7363.6
157,400057,401817,7376.5
158,400057,402056,5954.6
159,400057,402057,5104.4
160,400057,402281,6719.2
161,400057,402283,7522.9
162,400057,402285,8326.5
163,400057,402286,9132.6
164,400057,402288,10662.6
165,400057,403225,8283.4
166,400057,403265,8331.7
167,400057,403401,7887.6
168,400057,404370,8708.1
169,400057,404453,9441.4
170,400057,404461,9428.4
171,400057,404759,6041.0
172,400057,405701,7578.0
173,400057,407172,10118.9
174,400057,407173,10164.4
175,400057,407710,8847.6
176,400057,408911,5544.2
177,400057,414694,6561.3
178,400059,400052,10418.0
179,400059,400059,0.0
180,400059,400085,10999.4
181,400059,400280,9313.0
182,400059,400461,10745.0
183,400059,400519,4999.2
184,400059,400637,4714.2
185,400059,400690,10911.2
186,400059,400750,13381.9
187,400059,401495,8890.8
188,400059,401555,8856.2
189,400059,405613,9393.7
190,400065,400052,9145.0
191,400065,400065,0.0
192,400065,400085,8206.3
193,400065,400236,8500.6
194,400065,400258,862.6
195,400065,400461,9471.9
196,400065,400519,10173.4
197,400065,400563,8515.1
198,400065,400637,9888.5
199,400065,400664,2175.1
200,400065,400690,8118.1
201,400065,400750,12108.9
202,400065,400916,7933.6
203,400065,400995,7059.3
204,400065,401495,10332.4
205,400065,401555,10297.9
206,400065,401957,6184.4
207,400065,401958,6197.8
208,400065,402059,9966.1
209,400065,403401,10320.2
210,400065,404453,6491.0
211,400065,404461,6478.0
212,400069,400030,7746.0
213,400069,400045,8983.3
214,400069,400069,0.0
215,400069,400104,8906.1
216,400069,400109,8316.8
217,400069,400122,9305.1
218,400069,400168,7101.2
219,400069,400172,3517.9
220,400069,400206,1449.3
221,400069,400246,5590.6
222,400069,400253,10221.6
223,400069,400274,8899.4
224,400069,400296,10370.5
225,400069,400372,306.0
226,400069,400394,7118.6
227,400069,400479,7271.7
228,400069,400508,9489.7
229,400069,400567,8254.6
230,400069,400586,3259.3
231,400069,400643,9195.4
232,400069,400687,9239.8
233,400069,400709,9719.7
234,400069,400790,7342.8
235,400069,400794,9308.1
236,400069,400873,10593.4
237,400069,400895,1578.6
238,400069,400922,7413.4
239,400069,400964,4481.0
240,400069,400971,11661.1
241,400069,401440,8067.6
242,400069,401541,9760.5
243,400069,401560,10443.9
244,400069,401816,10352.4
245,400069,401817,10365.2
246,400069,401994,5252.2
247,400069,401996,8984.3
248,400069,401997,9902.3
249,400069,402121,10347.8
250,400069,402282,9872.8
251,400069,402284,9074.6
252,400069,402363,9931.3
253,400069,402365,6506.7
254,400069,402366,6251.4
255,400069,402367,853.6
256,400069,402368,8017.7
257,400069,402369,8214.8
258,400069,402370,8775.0
259,400069,403225,9175.2
260,400069,403265,9223.4
261,400069,404522,11362.4
262,400069,404553,7838.0
263,400069,404586,10218.8
264,400069,404759,10005.5
265,400073,400073,0.0
266,400073,400832,217.9
267,400084,400084,0.0
268,400084,400147,9983.7
269,400084,400292,3937.2
270,400084,400429,2000.5
271,400084,400673,145.3
272,400084,400823,1753.3
273,400084,400951,7578.2
274,400084,401163,8275.9
275,400084,401327,9084.5
276,400084,401388,5676.0
277,400084,401846,4495.0
278,400084,401943,10884.0
279,400084,402067,10690.9
280,400084,403409,11545.0
281,400084,403412,10900.2
282,400084,403414,9165.3
283,400084,403419,8421.4
284,400084,404640,3492.9
285,400084,407711,6647.1
286,400085,400052,7386.7
287,400085,400085,0.0
288,400085,400280,6281.7
289,400085,400461,7713.6
290,400085,400519,1967.8
291,400085,400637,1682.8
292,400085,400690,7879.8
293,400085,400750,10350.6
294,400085,401495,5859.4
295,400085,401555,5824.8
296,400085,405613,6362.3
297,400088,400088,0.0
298,400088,401464,1134.7
299,400088,401489,1440.4
300,400088,402281,3463.5
301,400088,402283,2659.8
302,400088,402285,1856.2
303,400088,402286,1050.1
304,400088,402288,479.9
305,400088,413026,719.4
306,400096,400069,10811.8
307,400096,400096,0.0
308,400096,400274,2388.7
309,400096,400372,11117.8
310,400096,400581,5307.8
311,400096,400643,9171.3
312,400096,400687,2729.2
313,400096,400794,9284.0
314,400096,401351,5662.6
315,400096,402061,12882.9
316,400096,402367,9958.2
317,400096,402369,8190.7
318,400096,404553,7813.9
319,400096,404586,3708.1
320,400096,407352,10513.8
321,400096,407360,10948.8
322,400096,407361,12158.2
323,400096,407367,10255.9
324,400097,400059,9876.9
325,400097,400097,0.0
326,400097,400209,5749.3
327,400097,400213,4463.2
328,400097,400222,11286.3
329,400097,400436,7901.1
330,400097,400582,661.3
331,400097,400648,3443.0
332,400097,400688,7488.6
333,400097,400700,7533.0
334,400097,400717,9466.1
335,400097,400772,8064.9
336,400097,400792,5568.4
337,400097,400828,2813.1
338,400097,400907,4910.0
339,400097,400934,6143.2
340,400097,401224,1778.8
341,400097,403329,7744.3
342,400097,404434,8949.4
343,400097,404444,3001.2
344,400100,400073,4809.6
345,400100,400100,0.0
346,400100,400278,3515.7
347,400100,400298,240.4
348,400100,400832,5027.0
349,400104,400030,11086.0
350,400104,400096,7539.6
351,400104,400104,0.0
352,400104,400158,4327.8
353,400104,400201,6658.4
354,400104,400246,12093.9
355,400104,400274,9927.4
356,400104,400296,1464.4
357,400104,400449,6012.7
358,400104,400567,11260.9
359,400104,400687,10267.8
360,400104,400873,1687.3
361,400104,400964,10693.3
362,400104,400971,9883.8
363,400104,401014,4551.1
364,400104,401440,11407.6
365,400104,401994,11755.5
366,400104,402121,8570.5
367,400104,402282,8095.6
368,400104,402284,7297.3
369,400104,402366,12754.7
370,400104,404586,11246.8
371,400104,404759,10272.7
372,400104,407184,7106.0
373,400104,407185,7864.2
374,400104,407186,11304.6
375,400104,407187,12546.9
376,400104,407190,8798.0
377,400104,407191,9346.1
378,400104,407200,10450.8
379,400104,413845,5221.3
380,400109,400109,0.0
381,400109,400160,3167.5
382,400109,400394,1198.1
383,400109,400400,11231.4
384,400109,400668,13025.3
385,400109,400804,10343.8
386,400109,400922,903.3
387,400109,400996,12406.4
388,400109,401890,11376.7
389,400109,401891,3876.3
390,400109,401906,5001.0
391,400109,401908,10230.9
392,400109,402359,9440.0
393,400109,402360,5807.6
394,400109,402361,10408.3
395,400109,402362,13645.6
396,400109,402363,1620.6
397,400122,400030,2203.0
398,400122,400045,3440.4
399,400122,400065,7338.9
400,400122,400088,5531.4
401,400122,400122,0.0
402,400122,400158,9929.9
403,400122,400246,10192.7
404,400122,400253,4678.6
405,400122,400258,8199.4
406,400122,400414,11201.2
407,400122,400449,11614.8
408,400122,400508,3946.7
409,400122,400664,9511.8
410,400122,400709,4935.2
411,400122,400714,9063.2
412,400122,400723,6047.2
413,400122,400964,7713.0
414,400122,400971,9391.8
415,400122,401014,10153.2
416,400122,401167,9614.0
417,400122,401391,7491.3
418,400122,401400,8966.6
419,400122,401403,8691.9
420,400122,401440,2524.6
421,400122,401464,6657.0
422,400122,401489,6962.8
423,400122,401541,456.0
424,400122,401560,7280.1
425,400122,401611,7886.6
426,400122,401655,9174.4
427,400122,401808,9303.4
428,400122,401809,6883.6
429,400122,401816,4809.4
430,400122,401817,4822.3
431,400122,401994,9854.2
432,400122,402056,6266.3
433,400122,402057,5416.1
434,400122,402058,9275.6
435,400122,402117,8390.0
436,400122,402118,8376.8
437,400122,402121,8078.5
438,400122,402281,2068.0
439,400122,402282,7603.6
440,400122,402283,2871.7
441,400122,402284,6805.3
442,400122,402285,3675.2
443,400122,402286,4481.3
444,400122,402288,6011.4
445,400122,402366,10853.5
446,400122,403225,3632.2
447,400122,403265,3680.4
448,400122,403401,10036.6
449,400122,404759,1389.8
450,400122,405701,9727.0
451,400122,407165,8562.0
452,400122,407172,8194.3
453,400122,407173,8239.9
454,400122,408911,7192.4
455,400122,413026,6241.7
456,400122,414694,8710.3
457,400147,400030,5711.5
458,400147,400045,3187.3
459,400147,400065,6510.3
460,400147,400088,9039.9
461,400147,400100,8957.1
462,400147,400122,3509.0
463,400147,400147,0.0
464,400147,400253,8187.1
465,400147,400258,7370.7
466,400147,400298,9196.7
467,400147,400414,9595.3
468,400147,400508,7455.2
469,400147,400664,8683.2
470,400147,400709,3329.3
471,400147,400714,7457.2
472,400147,400723,4441.2
473,400147,400964,6273.0
474,400147,400995,10111.9
475,400147,401167,7568.5
476,400147,401391,8906.9
477,400147,401400,7360.6
478,400147,401403,10209.6
479,400147,401440,6033.1
480,400147,401464,10165.5
481,400147,401489,10471.3
482,400147,401541,3964.5
483,400147,401560,2364.2
484,400147,401611,6280.6
485,400147,401809,8299.3
486,400147,401816,6220.9
487,400147,401817,6233.8
488,400147,402056,5437.7
489,400147,402057,4587.4
490,400147,402281,5576.5
491,400147,402283,6380.2
492,400147,402284,10313.8
493,400147,402285,7183.7
494,400147,402286,7989.8
495,400147,402288,9519.9
496,400147,403225,7140.7
497,400147,403265,7188.9
498,400147,403401,7991.2
499,400147,404370,9715.9
500,400147,404453,9543.7
501,400147,404461,9530.7
502,400147,404759,4898.3
503,400147,405701,7681.6
504,400147,407165,9977.7
505,400147,407172,9610.0
506,400147,407173,9655.5
507,400147,407710,8951.2
508,400147,408911,5586.5
509,400147,413026,9750.2
510,400147,414694,6664.9
511,400148,400148,0.0
512,400148,400185,12878.6
513,400148,400222,8787.8
514,400148,400336,1398.2
515,400148,400464,4538.6
516,400148,400485,3308.6
517,400148,400507,12250.5
518,400148,400688,4990.1
519,400148,400713,1928.4
520,400148,400822,3881.6
521,400148,400952,9444.5
522,400148,401210,11218.8
523,400148,404434,6450.9
524,400148,404435,15936.9
525,400149,400149,0.0
526,400149,400528,4107.7
527,400149,400643,10185.1
528,400149,400794,10297.8
529,400149,400970,9394.3
530,400149,402061,7796.2
531,400149,402369,9204.6
532,400149,404553,8827.7
533,400149,404585,7985.7
534,400149,407323,3513.9
535,400149,407348,4621.8
536,400149,407352,5427.1
537,400149,407360,5862.1
538,400149,407361,7071.4
539,400149,407364,8384.1
540,400149,407367,5169.2
541,400149,407372,9147.2
542,400149,407373,9932.2
543,400149,407374,3414.6
544,400158,400096,3217.3
545,400158,400158,0.0
546,400158,400201,2336.0
547,400158,400274,5605.0
548,400158,400449,1684.9
549,400158,400581,8524.2
550,400158,400643,12387.6
551,400158,400687,5945.5
552,400158,400794,12500.3
553,400158,401014,223.3
554,400158,401351,8878.9
555,400158,402369,11407.0
556,400158,404553,11030.2
557,400158,404586,6924.5
558,400160,400160,0.0
559,400160,400400,8067.5
560,400160,400668,9861.4
561,400160,400799,10243.5
562,400160,400804,7179.8
563,400160,400953,10663.5
564,400160,400965,12474.0
565,400160,400996,9242.5
566,400160,401403,9147.9
567,400160,401655,8457.5
568,400160,401808,8586.5
569,400160,401810,10985.7
570,400160,401890,8212.8
571,400160,401891,708.7
572,400160,401906,1837.0
573,400160,401908,7066.9
574,400160,402359,6276.1
575,400160,402360,2643.7
576,400160,402361,7244.4
577,400160,402362,10481.7
578,400160,403402,9761.2
579,400160,404753,13327.2
580,400168,400069,8919.8
581,400168,400149,9956.3
582,400168,400168,0.0
583,400168,400172,12434.1
584,400168,400206,10365.5
585,400168,400372,9225.8
586,400168,400581,7672.0
587,400168,400586,12175.5
588,400168,400643,7279.3
589,400168,400790,241.6
590,400168,400794,7392.0
591,400168,400895,10494.8
592,400168,400970,10582.2
593,400168,401351,8026.7
594,400168,401507,7830.1
595,400168,401534,6442.0
596,400168,401948,7058.2
597,400168,401996,1884.7
598,400168,401997,2802.7
599,400168,401998,5127.8
600,400168,402367,8066.2
601,400168,402368,918.0
602,400168,402369,6298.7
603,400168,402370,1675.3
604,400168,402372,5581.7
605,400168,404522,4262.7
606,400168,404553,5921.9
607,400168,404585,9173.5
608,400168,407323,8670.3
609,400168,407374,9961.9
610,400172,400030,4235.4
611,400172,400045,5472.8
612,400172,400065,9703.0
613,400172,400088,11325.4
614,400172,400109,4806.2
615,400172,400122,5794.5
616,400172,400160,7967.7
617,400172,400172,0.0
618,400172,400206,2068.6
619,400172,400253,6711.1
620,400172,400258,10563.5
621,400172,400394,3608.1
622,400172,400479,3761.1
623,400172,400508,5979.1
624,400172,400586,258.6
625,400172,400709,6967.6
626,400172,400714,11095.6
627,400172,400723,8079.6
628,400172,400895,1939.3
629,400172,400922,3902.9
630,400172,400964,10294.6
631,400172,401400,10999.0
632,400172,401440,4557.0
633,400172,401541,6249.9
634,400172,401560,9312.5
635,400172,401611,9919.0
636,400172,401816,6841.8
637,400172,401817,6854.7
638,400172,401891,8676.4
639,400172,401906,9801.1
640,400172,402056,8630.4
641,400172,402057,7780.2
642,400172,402281,7861.9
643,400172,402283,8665.6
644,400172,402285,9469.2
645,400172,402286,10275.3
646,400172,402288,11805.3
647,400172,402360,10607.8
648,400172,402363,6420.8
649,400172,402365,2996.1
650,400172,403225,5664.6
651,400172,403265,5712.8
652,400172,404759,7183.7
653,400172,408911,9224.8
654,400174,400149,8262.0
655,400174,400174,0.0
656,400174,401507,1517.1
657,400174,407332,403.3
658,400178,400040,2182.6
659,400178,400065,10145.9
660,400178,400085,9207.9
661,400178,400178,0.0
662,400178,400236,5987.5
663,400178,400257,1805.4
664,400178,400400,10488.5
665,400178,400418,1818.4
666,400178,400457,13.2
667,400178,400563,6002.1
668,400178,400654,2478.3
669,400178,400668,12282.5
670,400178,400690,9119.8
671,400178,400804,9600.9
672,400178,400837,3225.9
673,400178,400916,5420.5
674,400178,400995,4546.2
675,400178,400996,11663.6
676,400178,401167,10783.3
677,400178,401391,9817.0
678,400178,401457,310.5
679,400178,401567,323.9
680,400178,401597,1292.9
681,400178,401606,1279.8
682,400178,401809,9209.3
683,400178,401890,10633.9
684,400178,401908,9488.0
685,400178,401957,7843.5
686,400178,401958,7857.0
687,400178,402056,9073.3
688,400178,402057,8223.1
689,400178,402059,7453.0
690,400178,402359,8697.2
691,400178,402361,9665.5
692,400178,402362,12902.8
693,400178,403401,8040.5
694,400178,404452,955.0
695,400178,404453,3978.0
696,400178,404461,3965.0
697,400178,405619,941.1
698,400178,405701,10896.3
699,400178,409524,8964.1
700,400178,409525,10780.7
701,400178,409528,10767.9
702,400178,414694,9879.6
703,400185,400174,12001.2
704,400185,400185,0.0
705,400185,400507,628.1
706,400185,400952,3434.1
707,400185,401210,1659.9
708,400185,401507,13517.9
709,400185,402060,6669.9
710,400185,404435,3058.2
711,400185,407321,4019.0
712,400185,407325,9768.2
713,400185,407328,9053.0
714,400185,407331,4253.0
715,400185,407332,12404.1
716,400185,407335,8600.4
717,400185,407336,7395.3
718,400185,407337,6251.2
719,400185,407339,6074.3
720,400185,407341,5312.0
721,400185,407342,9261.8
722,400185,407344,3707.5
723,400201,400096,882.2
724,400201,400201,0.0
725,400201,400274,3269.9
726,400201,400581,6189.1
727,400201,400643,10052.5
728,400201,400687,3610.4
729,400201,400794,10165.2
730,400201,401351,6543.9
731,400201,402369,9071.9
732,400201,404553,8695.1
733,400201,404586,4589.4
734,400206,400030,6304.0
735,400206,400045,7541.4
736,400206,400065,11771.6
737,400206,400088,13394.0
738,400206,400109,6874.8
739,400206,400122,7863.1
740,400206,400160,10036.3
741,400206,400172,2068.6
742,400206,400206,0.0
743,400206,400253,8779.6
744,400206,400258,12632.1
745,400206,400394,5676.7
746,400206,400479,5829.7
747,400206,400508,8047.7
748,400206,400586,1810.0
749,400206,400709,9036.2
750,400206,400714,13164.2
751,400206,400723,10148.2
752,400206,400895,129.3
753,400206,400922,5971.5
754,400206,400964,12363.2
755,400206,401400,13067.6
756,400206,401440,6625.6
757,400206,401541,8318.5
758,400206,401560,11381.1
759,400206,401611,11987.6
760,400206,401816,8910.4
761,400206,401817,8923.3
762,400206,401891,10745.0
763,400206,401906,11869.7
764,400206,402056,10699.0
765,400206,402057,9848.8
766,400206,402281,9930.5
767,400206,402283,10734.2
768,400206,402285,11537.8
769,400206,402286,12343.9
770,400206,402288,13873.9
771,400206,402360,12676.4
772,400206,402363,8489.4
773,400206,402365,5064.7
774,400206,403225,7733.2
775,400206,403265,7781.4
776,400206,404759,9252.3
777,400206,408911,11293.4
778,400209,400059,15626.3
779,400209,400097,5749.3
780,400209,400209,0.0
781,400209,400213,10212.6
782,400209,400222,17035.6
783,400209,400436,13650.4
784,400209,400582,6410.6
785,400209,400648,2306.3
786,400209,400688,13237.9
787,400209,400700,13282.3
788,400209,400717,15215.4
789,400209,400772,13814.3
790,400209,400792,11317.7
791,400209,400828,2936.2
792,400209,400907,10659.3
793,400209,400934,11892.6
794,400209,401224,3970.5
795,400209,403329,13493.7
796,400209,404434,14698.7
797,400209,404444,8750.5
798,400213,400059,5417.4
799,400213,400185,10917.6
800,400213,400213,0.0
801,400213,400221,6201.0
802,400213,400222,6826.8
803,400213,400278,10260.5
804,400213,400298,7074.5
805,400213,400436,3441.6
806,400213,400507,10289.5
807,400213,400519,10409.8
808,400213,400637,10124.9
809,400213,400649,9611.1
810,400213,400688,3029.1
811,400213,400700,3073.5
812,400213,400715,10159.3
813,400213,400717,5006.6
814,400213,400772,3605.4
815,400213,400792,1108.9
816,400213,400907,450.5
817,400213,400934,1683.7
818,400213,400951,9743.1
819,400213,400952,7483.5
820,400213,401163,10274.7
821,400213,401210,9257.8
822,400213,401327,11083.3
823,400213,403329,3284.8
824,400213,403414,11164.1
825,400213,403419,10420.2
826,400213,404370,6490.1
827,400213,404434,4489.9
828,400213,404435,13975.9
829,400213,408907,9374.0
830,400221,400045,9135.0
831,400221,400122,9456.8
832,400221,400147,5948.5
833,400221,400221,0.0
834,400221,400664,9622.5
835,400221,400709,8091.9
836,400221,400723,9203.9
837,400221,400951,3543.0
838,400221,401163,4074.6
839,400221,401167,9383.0
840,400221,401327,4883.2
841,400221,401541,9912.2
842,400221,401560,8312.0
843,400221,401809,10353.5
844,400221,401811,7966.7
845,400221,401943,6682.8
846,400221,402056,10093.2
847,400221,402057,9242.9
848,400221,402059,8843.0
849,400221,402067,6489.6
850,400221,403401,9184.7
851,400221,403404,8817.0
852,400221,403406,8030.7
853,400221,403409,7343.7
854,400221,403412,6698.9
855,400221,403414,4964.0
856,400221,403419,4220.1
857,400221,404370,290.0
858,400221,405701,9496.1
859,400221,408907,3173.8
860,400221,408911,10349.1
861,400221,409524,10354.1
862,400221,414694,8479.3
863,400222,400185,4094.7
864,400222,400222,0.0
865,400222,400507,3466.6
866,400222,400952,660.5
867,400222,401210,2434.8
868,400222,402060,10747.6
869,400222,404435,7152.9
870,400222,407321,8096.7
871,400222,407328,13130.7
872,400222,407331,8330.7
873,400222,407335,12678.2
874,400222,407336,11473.1
875,400222,407337,10328.9
876,400222,407339,10152.0
877,400222,407341,9389.7
878,400222,407342,13339.5
879,400222,407344,7785.2
880,400227,400069,7709.5
881,400227,400104,11132.0
882,400227,400168,4861.0
883,400227,400172,11223.8
884,400227,400206,9155.2
885,400227,400227,0.0
886,400227,400246,3350.4
887,400227,400274,11125.2
888,400227,400296,12596.4
889,400227,400353,2223.1
890,400227,400372,8015.5
891,400227,400567,10480.5
892,400227,400581,10212.4
893,400227,400586,10965.2
894,400227,400643,10667.9
895,400227,400687,11465.7
896,400227,400790,5102.6
897,400227,400794,10780.6
898,400227,400873,12819.3
899,400227,400895,9284.5
900,400227,400964,11960.8
901,400227,401351,10567.2
902,400227,401507,12689.6
903,400227,401534,11301.5
904,400227,401948,11917.7
905,400227,401994,3012.0
906,400227,401996,6744.1
907,400227,401997,7662.1
908,400227,401998,9987.3
909,400227,402366,4011.2
910,400227,402367,6855.9
911,400227,402368,5777.5
912,400227,402369,9687.3
913,400227,402370,6534.8
914,400227,402372,10441.1
915,400227,404521,2045.9
916,400227,404522,9122.2
917,400227,404553,9189.6
918,400227,404586,12444.7
919,400236,400236,0.0
920,400236,400563,14.5
921,400236,401816,6080.2
922,400236,401817,6093.1
923,400236,402059,1466.1
924,400236,409524,2977.2
925,400236,409525,4793.8
926,400236,409526,5389.6
927,400236,409528,4781.0
928,400236,409529,5376.9
929,400238,400030,6250.1
930,400238,400045,7487.5
931,400238,400088,13340.1
932,400238,400096,9406.2
933,400238,400122,7809.2
934,400238,400158,6194.4
935,400238,400168,10365.8
936,400238,400201,8525.0
937,400238,400238,0.0
938,400238,400246,8855.3
939,400238,400253,8725.8
940,400238,400449,7879.3
941,400238,400508,7993.8
942,400238,400709,8982.4
943,400238,400723,10094.3
944,400238,400790,10607.5
945,400238,400964,6479.9
946,400238,400971,5048.0
947,400238,401014,6417.7
948,400238,401440,6571.8
949,400238,401541,8264.7
950,400238,401816,8143.0
951,400238,401817,8155.9
952,400238,401994,8516.8
953,400238,402057,9794.9
954,400238,402117,9793.9
955,400238,402118,9780.8
956,400238,402120,1596.4
957,400238,402121,3734.7
958,400238,402281,9876.7
959,400238,402282,3259.8
960,400238,402283,10680.4
961,400238,402284,2461.5
962,400238,402285,11483.9
963,400238,402286,12290.0
964,400238,402287,855.1
965,400238,402288,13820.1
966,400238,402289,673.9
967,400238,402366,9516.0
968,400238,403225,7679.3
969,400238,403265,7727.5
970,400238,404759,5436.9
971,400238,407184,8980.3
972,400238,407185,9738.5
973,400238,407190,10672.3
974,400238,407191,11220.4
975,400238,413845,7095.6
976,400240,400240,0.0
977,400246,400069,4362.4
978,400246,400104,7784.9
979,400246,400168,1513.9
980,400246,400172,7876.7
981,400246,400206,5808.1
982,400246,400246,0.0
983,400246,400274,7778.1
984,400246,400296,9249.3
985,400246,400372,4668.4
986,400246,400567,7133.4
987,400246,400581,6865.3
988,400246,400586,7618.1
989,400246,400643,7320.8
990,400246,400687,8118.6
991,400246,400790,1755.5
992,400246,400794,7433.5
993,400246,400873,9472.2
994,400246,400895,5937.4
995,400246,400964,8613.7
996,400246,400970,12054.5
997,400246,401351,7220.0
998,400246,401507,9342.5
999,400246,401534,7954.4
1000,400246,401948,8570.6
1001,400246,401994,338.5
1002,400246,401996,3397.0
1003,400246,401997,4315.0
1004,400246,401998,6640.2
1005,400246,402365,10865.5
1006,400246,402366,660.8
1007,400246,402367,3508.8
1008,400246,402368,2430.4
1009,400246,402369,6340.2
1010,400246,402370,3187.7
1011,400246,402372,7094.0
1012,400246,404522,5775.1
1013,400246,404553,5842.4
1014,400246,404585,10645.8
1015,400246,404586,9097.6
1016,400246,407323,9971.5
1017,400253,400030,8842.6
1018,400253,400045,6318.4
1019,400253,400065,8922.0
1020,400253,400088,12171.1
1021,400253,400100,5885.0
1022,400253,400122,6640.2
1023,400253,400253,0.0
1024,400253,400258,9782.5
1025,400253,400278,9399.9
1026,400253,400298,6124.6
1027,400253,400414,6523.2
1028,400253,400499,10271.9
1029,400253,400560,8444.0
1030,400253,400709,257.1
1031,400253,400714,4385.1
1032,400253,400723,1369.1
1033,400253,400951,9896.8
1034,400253,400964,7010.1
1035,400253,401163,10428.4
1036,400253,401167,8711.0
1037,400253,401327,11237.0
1038,400253,401400,4288.5
1039,400253,401440,9164.3
1040,400253,401541,7095.6
1041,400253,401560,5495.3
1042,400253,401611,3208.5
1043,400253,401809,10302.5
1044,400253,401816,8935.3
1045,400253,401817,8948.2
1046,400253,401845,14457.3
1047,400253,402056,7849.4
1048,400253,402057,6999.2
1049,400253,402281,8707.6
1050,400253,402283,9511.3
1051,400253,402285,10314.8
1052,400253,402286,11121.0
1053,400253,402288,12651.0
1054,400253,403225,10271.8
1055,400253,403265,10320.0
1056,400253,403401,9133.7
1057,400253,403414,11317.8
1058,400253,403419,10573.9
1059,400253,404370,6643.8
1060,400253,404759,8029.4
1061,400253,405701,8824.1
1062,400253,407710,10093.7
1063,400253,408907,9527.7
1064,400253,408911,2514.3
1065,400253,414694,7807.4
1066,400257,400040,377.3
1067,400257,400236,4182.3
1068,400257,400257,0.0
1069,400257,400418,13.0
1070,400257,400563,4196.8
1071,400257,400654,673.0
1072,400257,400837,1420.7
1073,400257,400916,3615.3
1074,400257,400995,2740.9
